"subjectID" "activity" "activitylabels"
1 "Walking" 1
1 "Walking Upstairs" 2
1 "Walking Downstairs" 3
1 "Sitting" 4
1 "Standing" 5
1 "Laying" 6
2 "Walking" 1
2 "Walking Upstairs" 2
2 "Walking Downstairs" 3
2 "Sitting" 4
2 "Standing" 5
2 "Laying" 6
3 "Walking" 1
3 "Walking Upstairs" 2
3 "Walking Downstairs" 3
3 "Sitting" 4
3 "Standing" 5
3 "Laying" 6
4 "Walking" 1
4 "Walking Upstairs" 2
4 "Walking Downstairs" 3
4 "Sitting" 4
4 "Standing" 5
4 "Laying" 6
5 "Walking" 1
5 "Walking Upstairs" 2
5 "Walking Downstairs" 3
5 "Sitting" 4
5 "Standing" 5
5 "Laying" 6
6 "Walking" 1
6 "Walking Upstairs" 2
6 "Walking Downstairs" 3
6 "Sitting" 4
6 "Standing" 5
6 "Laying" 6
7 "Walking" 1
7 "Walking Upstairs" 2
7 "Walking Downstairs" 3
7 "Sitting" 4
7 "Standing" 5
7 "Laying" 6
8 "Walking" 1
8 "Walking Upstairs" 2
8 "Walking Downstairs" 3
8 "Sitting" 4
8 "Standing" 5
8 "Laying" 6
9 "Walking" 1
9 "Walking Upstairs" 2
9 "Walking Downstairs" 3
9 "Sitting" 4
9 "Standing" 5
9 "Laying" 6
10 "Walking" 1
10 "Walking Upstairs" 2
10 "Walking Downstairs" 3
10 "Sitting" 4
10 "Standing" 5
10 "Laying" 6
11 "Walking" 1
11 "Walking Upstairs" 2
11 "Walking Downstairs" 3
11 "Sitting" 4
11 "Standing" 5
11 "Laying" 6
12 "Walking" 1
12 "Walking Upstairs" 2
12 "Walking Downstairs" 3
12 "Sitting" 4
12 "Standing" 5
12 "Laying" 6
13 "Walking" 1
13 "Walking Upstairs" 2
13 "Walking Downstairs" 3
13 "Sitting" 4
13 "Standing" 5
13 "Laying" 6
14 "Walking" 1
14 "Walking Upstairs" 2
14 "Walking Downstairs" 3
14 "Sitting" 4
14 "Standing" 5
14 "Laying" 6
15 "Walking" 1
15 "Walking Upstairs" 2
15 "Walking Downstairs" 3
15 "Sitting" 4
15 "Standing" 5
15 "Laying" 6
16 "Walking" 1
16 "Walking Upstairs" 2
16 "Walking Downstairs" 3
16 "Sitting" 4
16 "Standing" 5
16 "Laying" 6
17 "Walking" 1
17 "Walking Upstairs" 2
17 "Walking Downstairs" 3
17 "Sitting" 4
17 "Standing" 5
17 "Laying" 6
18 "Walking" 1
18 "Walking Upstairs" 2
18 "Walking Downstairs" 3
18 "Sitting" 4
18 "Standing" 5
18 "Laying" 6
19 "Walking" 1
19 "Walking Upstairs" 2
19 "Walking Downstairs" 3
19 "Sitting" 4
19 "Standing" 5
19 "Laying" 6
20 "Walking" 1
20 "Walking Upstairs" 2
20 "Walking Downstairs" 3
20 "Sitting" 4
20 "Standing" 5
20 "Laying" 6
21 "Walking" 1
21 "Walking Upstairs" 2
21 "Walking Downstairs" 3
21 "Sitting" 4
21 "Standing" 5
21 "Laying" 6
22 "Walking" 1
22 "Walking Upstairs" 2
22 "Walking Downstairs" 3
22 "Sitting" 4
22 "Standing" 5
22 "Laying" 6
23 "Walking" 1
23 "Walking Upstairs" 2
23 "Walking Downstairs" 3
23 "Sitting" 4
23 "Standing" 5
23 "Laying" 6
24 "Walking" 1
24 "Walking Upstairs" 2
24 "Walking Downstairs" 3
24 "Sitting" 4
24 "Standing" 5
24 "Laying" 6
25 "Walking" 1
25 "Walking Upstairs" 2
25 "Walking Downstairs" 3
25 "Sitting" 4
25 "Standing" 5
25 "Laying" 6
26 "Walking" 1
26 "Walking Upstairs" 2
26 "Walking Downstairs" 3
26 "Sitting" 4
26 "Standing" 5
26 "Laying" 6
27 "Walking" 1
27 "Walking Upstairs" 2
27 "Walking Downstairs" 3
27 "Sitting" 4
27 "Standing" 5
27 "Laying" 6
28 "Walking" 1
28 "Walking Upstairs" 2
28 "Walking Downstairs" 3
28 "Sitting" 4
28 "Standing" 5
28 "Laying" 6
29 "Walking" 1
29 "Walking Upstairs" 2
29 "Walking Downstairs" 3
29 "Sitting" 4
29 "Standing" 5
29 "Laying" 6
30 "Walking" 1
30 "Walking Upstairs" 2
30 "Walking Downstairs" 3
30 "Sitting" 4
30 "Standing" 5
30 "Laying" 6
